Borough,Price
City of London,886889
Barking and Dagenham,343440
Barnet,587623
Bexley,394396
Brent,540491
Bromley,497923
Camden,859340
Croydon,418318
Ealing,525323
Enfield,446891
Greenwich,425402
Hackney,627345
Hammersmith and Fulham,770146
Haringey,593943
Harrow,517525
Havering,419657
Hillingdon,454204
Hounslow,440140
Islington,712673
Kensington and Chelsea,1449948
Kingston upon Thames,542126
Lambeth,546494
Lewisham,453004
Merton,566932
Newham,406905
Redbridge,474129
Richmond upon Thames,750001
Southwark,541674
Sutton,430970
Tower Hamlets,469214
Waltham Forest,500721
Wandsworth,633962
Westminster,1016767
