Borough,Income
City of London,142000
Barking and Dagenham,30800
Barnet,54400
Bexley,36400
Brent,40400
Bromley,49300
Camden,107000
Croydon,38300
Ealing,44100
Enfield,40700
Greenwich,46400
Hackney,49400
Hammersmith and Fulham,77800
Haringey,50200
Harrow,42800
Havering,38000
Hillingdon,38200
Hounslow,43000
Islington,70100
Kensington and Chelsea,198000
Kingston-upon-Thames,54000
Lambeth,51900
Lewisham,42600
Merton,58500
Newham,34300
Redbridge,40300
Richmond-upon-Thames,77900
Southwark,55300
Sutton,41400
Tower Hamlets,52700
Waltham Forest,37100
Wandsworth,75300
Westminster,123000
